experiment_name,prompt_name,template_id,coding_model,universal_model,ablation_type,healthcheck_pass,success,exit_code,docker_healthy,duration_seconds,timestamp,template_failed,total_input_tokens,total_output_tokens,total_llm_calls,total_llm_time,source_dir
basic-inventory-system_trpc-agent_qwen3-480b-35a-2_gemini,basic-inventory-system,trpc-agent,qwen3-480b-35a-2,gemini,openmodels,true,true,0,true,383.22935,2025-08-22T20:35:50.033617,false,489051,19939,89,327.147803068161,dataset/openmodels
city-trip-advisor_trpc-agent_gpt-oss-2_gemini,city-trip-advisor,trpc-agent,gpt-oss-2,gemini,openmodels,false,false,1,false,9.016055,2025-08-22T19:54:45.020799,false,1232,102,1,1.9506781101226807,dataset/openmodels
daily-pattern-visualizer_trpc-agent_gpt-oss-3_gemini,daily-pattern-visualizer,trpc-agent,gpt-oss-3,gemini,openmodels,true,true,0,true,356.071525,2025-08-22T20:25:42.227518,false,1352521,51985,187,353.4936373233795,dataset/openmodels
pastel-blue-notes-app_trpc-agent_qwen3-480b-35a-3_gemini,pastel-blue-notes-app,trpc-agent,qwen3-480b-35a-3,gemini,openmodels,true,true,0,true,466.430768,2025-08-22T20:43:36.468297,false,604454,24990,104,652.0571677684784,dataset/openmodels
personal-expense-tracker_trpc-agent_gpt-oss-2_gemini,personal-expense-tracker,trpc-agent,gpt-oss-2,gemini,openmodels,true,false,0,true,148.038341,2025-08-22T21:16:30.624253,true,478643,15540,54,129.2444200515747,dataset/openmodels
book-library-manager_trpc-agent_qwen3-480b-35a-2_gemini,book-library-manager,trpc-agent,qwen3-480b-35a-2,gemini,openmodels,true,false,0,true,634.946105,2025-08-22T20:10:48.578748,true,1323646,33131,133,648.3725578784943,dataset/openmodels
gym-crm_trpc-agent_gpt-oss_gemini,gym-crm,trpc-agent,gpt-oss,gemini,openmodels,true,false,0,true,426.393278,2025-08-20T14:08:53.424202,true,1368134,49420,169,379.2298152446747,dataset/openmodels
tennis-enthusiast-platform_trpc-agent_qwen3-480b-35a_gemini,tennis-enthusiast-platform,trpc-agent,qwen3-480b-35a,gemini,openmodels,true,true,0,true,505.344568,2025-08-20T14:17:18.781652,false,513242,20671,82,471.00354623794556,dataset/openmodels
pomodoro-study-timer_trpc-agent_qwen3-480b-35a-2_gemini,pomodoro-study-timer,trpc-agent,qwen3-480b-35a-2,gemini,openmodels,true,true,0,true,734.60002,2025-08-22T22:15:12.613671,false,1288910,37740,141,696.7211754322052,dataset/openmodels
home-lab-inventory_trpc-agent_qwen3-480b-35a_gemini,home-lab-inventory,trpc-agent,qwen3-480b-35a,gemini,openmodels,true,true,0,true,1029.777042,2025-08-20T13:54:22.184553,false,3152187,97281,222,1279.8451673984528,dataset/openmodels
birthday-wish-app_trpc-agent_gpt-oss-2_gemini,birthday-wish-app,trpc-agent,gpt-oss-2,gemini,openmodels,true,false,0,true,434.443339,2025-08-22T21:36:58.411790,true,830144,23504,89,216.16473412513733,dataset/openmodels
wellness-score-tracker_trpc-agent_qwen3-480b-35a-3_gemini,wellness-score-tracker,trpc-agent,qwen3-480b-35a-3,gemini,openmodels,true,true,0,true,1068.665461,2025-08-22T20:28:14.066245,false,1106571,37725,124,924.5774340629578,dataset/openmodels
