experiment_name,prompt_name,template_id,coding_model,universal_model,ablation_type,healthcheck_pass,success,exit_code,docker_healthy,duration_seconds,timestamp,template_failed,total_input_tokens,total_output_tokens,total_llm_calls,total_llm_time,source_dir
gym-crm_trpc-agent_claude_gemini,gym-crm,trpc-agent,claude,gemini,no_lint,true,true,0,true,489.139761,2025-08-20T13:10:07.338268,false,936200,96897,152,1423.3713278770447,dataset/ablations/benchmark_results_no_lint
city-trip-advisor_trpc-agent_claude_gemini,city-trip-advisor,trpc-agent,claude,gemini,no_lint,true,true,0,true,391.53598,2025-08-20T12:51:21.657089,false,111798,21787,40,307.1294014453888,dataset/ablations/benchmark_results_no_lint
engineering-job-board_trpc-agent_claude_gemini,engineering-job-board,trpc-agent,claude,gemini,no_lint,true,true,0,true,228.088116,2025-08-20T13:11:37.785268,false,172887,26673,55,424.3898055553436,dataset/ablations/benchmark_results_no_lint
todo-list-with-mood_trpc-agent_claude_gemini,todo-list-with-mood,trpc-agent,claude,gemini,no_lint,true,true,0,true,318.656336,2025-08-20T13:07:19.900818,false,200909,29266,60,397.64933705329895,dataset/ablations/benchmark_results_no_lint
wellness-score-tracker_trpc-agent_claude_gemini,wellness-score-tracker,trpc-agent,claude,gemini,no_lint,true,true,0,true,647.206045,2025-08-20T12:55:37.318929,false,325974,37146,62,566.0783326625824,dataset/ablations/benchmark_results_no_lint
pantry-inventory-app_trpc-agent_claude_gemini,pantry-inventory-app,trpc-agent,claude,gemini,no_lint,true,true,0,true,365.491857,2025-08-20T12:57:49.826413,false,333539,49769,76,694.5027546882629,dataset/ablations/benchmark_results_no_lint
beer-counter-app_trpc-agent_claude_gemini,beer-counter-app,trpc-agent,claude,gemini,no_lint,true,false,0,true,909.132073,2025-08-20T13:10:46.452661,true,1323636,76065,203,1327.5291962623596,dataset/ablations/benchmark_results_no_lint
currency-converter_trpc-agent_claude_gemini,currency-converter,trpc-agent,claude,gemini,no_lint,false,false,1,false,722.512653,2025-08-20T12:56:52.619774,false,258554,25511,60,394.85629749298096,dataset/ablations/benchmark_results_no_lint
pastel-blue-notes-app_trpc-agent_claude_gemini,pastel-blue-notes-app,trpc-agent,claude,gemini,no_lint,true,true,0,true,421.992487,2025-08-20T13:01:08.936393,false,715860,44550,103,638.4461965560913,dataset/ablations/benchmark_results_no_lint
plumbing-business-landing-page_trpc-agent_claude_gemini,plumbing-business-landing-page,trpc-agent,claude,gemini,no_lint,true,true,0,true,308.61839,2025-08-20T13:02:01.242498,false,164725,24299,54,362.92942452430725,dataset/ablations/benchmark_results_no_lint
event-tracker_trpc-agent_claude_gemini,event-tracker,trpc-agent,claude,gemini,no_lint,true,true,0,true,414.205166,2025-08-20T12:51:44.332417,false,143542,17013,50,279.3147008419037,dataset/ablations/benchmark_results_no_lint
car-maintenance-dashboard_trpc-agent_claude_gemini,car-maintenance-dashboard,trpc-agent,claude,gemini,no_lint,true,true,0,true,603.52491,2025-08-20T12:54:53.649630,false,385795,58304,89,858.3656203746796,dataset/ablations/benchmark_results_no_lint
cat-conspiracy-tracker_trpc-agent_claude_gemini,cat-conspiracy-tracker,trpc-agent,claude,gemini,no_lint,true,true,0,true,249.421361,2025-08-20T13:15:47.208790,false,249211,27618,59,397.0892536640167,dataset/ablations/benchmark_results_no_lint
pomodoro-study-timer_trpc-agent_claude_gemini,pomodoro-study-timer,trpc-agent,claude,gemini,no_lint,true,true,0,true,222.777486,2025-08-20T13:14:29.232721,false,204283,27392,54,343.8867950439453,dataset/ablations/benchmark_results_no_lint
personal-expense-tracker_trpc-agent_claude_gemini,personal-expense-tracker,trpc-agent,claude,gemini,no_lint,true,true,0,true,466.762684,2025-08-20T13:08:55.701077,false,611776,68031,110,908.3837997913361,dataset/ablations/benchmark_results_no_lint
daily-pattern-visualizer_trpc-agent_claude_gemini,daily-pattern-visualizer,trpc-agent,claude,gemini,no_lint,true,true,0,true,636.536712,2025-08-20T13:01:58.195632,false,547461,60516,74,849.4242684841156,dataset/ablations/benchmark_results_no_lint
kanji-flashcards_trpc-agent_claude_gemini,kanji-flashcards,trpc-agent,claude,gemini,no_lint,true,true,0,true,600.909862,2025-08-20T13:07:50.738832,false,999731,54889,81,823.4072587490082,dataset/ablations/benchmark_results_no_lint
indonesian-inventory-app_trpc-agent_claude_gemini,indonesian-inventory-app,trpc-agent,claude,gemini,no_lint,true,true,0,true,384.657462,2025-08-20T13:14:15.398359,false,396337,52475,75,693.3182306289673,dataset/ablations/benchmark_results_no_lint
bookmark-management-app_trpc-agent_claude_gemini,bookmark-management-app,trpc-agent,claude,gemini,no_lint,true,true,0,true,414.691184,2025-08-20T13:07:49.695012,false,514080,58321,92,752.8748307228088,dataset/ablations/benchmark_results_no_lint
roommate-chore-wheel_trpc-agent_claude_gemini,roommate-chore-wheel,trpc-agent,claude,gemini,no_lint,true,true,0,true,556.83227,2025-08-20T12:54:06.942250,false,346358,40299,83,613.7982568740845,dataset/ablations/benchmark_results_no_lint
plant-care-tracker_trpc-agent_claude_gemini,plant-care-tracker,trpc-agent,claude,gemini,no_lint,true,true,0,true,445.362134,2025-08-20T12:52:15.464702,false,328804,30495,50,428.4906289577484,dataset/ablations/benchmark_results_no_lint
recipe-sharing-platform_trpc-agent_claude_gemini,recipe-sharing-platform,trpc-agent,claude,gemini,no_lint,true,true,0,true,446.998776,2025-08-20T13:17:34.340498,false,1021909,75560,120,939.6260421276093,dataset/ablations/benchmark_results_no_lint
pc-gaming-niche-site_trpc-agent_claude_gemini,pc-gaming-niche-site,trpc-agent,claude,gemini,no_lint,true,true,0,true,562.853377,2025-08-20T13:12:57.203266,false,615605,52121,77,735.9350626468658,dataset/ablations/benchmark_results_no_lint
teacher-question-bank_trpc-agent_claude_gemini,teacher-question-bank,trpc-agent,claude,gemini,no_lint,true,true,0,true,488.561182,2025-08-20T13:03:02.213038,false,565373,73398,84,904.3469779491425,dataset/ablations/benchmark_results_no_lint
habit-tracker-app_trpc-agent_claude_gemini,habit-tracker-app,trpc-agent,claude,gemini,no_lint,true,true,0,true,354.900697,2025-08-20T13:14:50.604500,false,368888,38532,69,519.1677687168121,dataset/ablations/benchmark_results_no_lint
home-lab-inventory_trpc-agent_claude_gemini,home-lab-inventory,trpc-agent,claude,gemini,no_lint,true,true,0,true,705.63952,2025-08-20T13:03:34.347746,false,449489,64596,96,902.4231417179108,dataset/ablations/benchmark_results_no_lint
tennis-enthusiast-platform_trpc-agent_claude_gemini,tennis-enthusiast-platform,trpc-agent,claude,gemini,no_lint,true,true,0,true,337.053035,2025-08-20T13:12:56.957212,false,380524,44934,84,698.8184838294983,dataset/ablations/benchmark_results_no_lint
book-library-manager_trpc-agent_claude_gemini,book-library-manager,trpc-agent,claude,gemini,no_lint,true,true,0,true,418.590798,2025-08-20T12:51:48.706723,false,418814,28293,75,457.882390499115,dataset/ablations/benchmark_results_no_lint
birthday-wish-app_trpc-agent_claude_gemini,birthday-wish-app,trpc-agent,claude,gemini,no_lint,true,true,0,true,1252.000296,2025-08-20T13:23:54.218076,false,2392422,157684,210,2092.7055411338806,dataset/ablations/benchmark_results_no_lint
basic-inventory-system_trpc-agent_claude_gemini,basic-inventory-system,trpc-agent,claude,gemini,no_lint,true,true,0,true,519.534798,2025-08-20T13:00:55.001404,false,454250,48879,82,712.9824781417847,dataset/ablations/benchmark_results_no_lint
