app,has_csp_baseline,has_csp_npw,has_external_refs_baseline,has_external_refs_npw,smoke_spec_present_baseline,smoke_spec_present_npw,std_notes_baseline,std_notes_npw
basic-inventory-system_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:44:04,016 - INFO - core.actors - 955c99c7a7c64802a863c7a8ebcda6e1 - actors.py:408 - Running tool complete with input  | 2025-08-19 13:44:06,341 - INFO - core.actors - 955c99c7a7c64802a863c7a8ebcda6e1 - actors.py:538 - Failed to complete: TypeScript errors (frontend): | src/components/T","2025-08-20 12:01:23,727 - INFO - trpc_agent.actors - aabe2a7ae1a74cf9b545569697b6728c - actors.py:654 - Test execution result for handler 'create_product': 0 | 2025-08-20 12:01:23,732 - INFO - core.actors - aabe2a7ae1a74cf9b545569697b6728c - actors.py:538 - Failed to complete: TypeScript errors (bac"
beer-counter-app_trpc-agent_claude_gemini,WARN,WARN,PASS,FAIL,WARN,PASS,"2025-08-19 13:56:37,150 - INFO - trpc_agent.actors - 474c1319ddb547bda591e908f8023b0f - actors.py:654 - Test execution result for handler 'increment_beer_count': 1 | 2025-08-19 13:56:37,150 - INFO - core.actors - 474c1319ddb547bda591e908f8023b0f - actors.py:538 - Failed to complete: TypeScript error",
birthday-wish-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:30:28,716 - INFO - trpc_agent.actors - 612256831a034b279234ac640e3319dd - actors.py:654 - Test execution result for handler 'update_photo': 0 | 2025-08-19 14:30:28,717 - INFO - core.actors - 612256831a034b279234ac640e3319dd - actors.py:538 - Failed to complete: TypeScript errors (backe","2025-08-20 12:12:16,963 - INFO - core.actors - 5e34720e62e248058e8e550be2dd4695 - actors.py:382 - Compacted error message size: 826, original size: 13623 | 2025-08-20 12:12:16,963 - INFO - core.actors - 5e34720e62e248058e8e550be2dd4695 - actors.py:538 - Failed to complete: TypeScript errors: | src/t"
book-library-manager_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:23:15,136 - INFO - trpc_agent.actors - c0e9b4ed1b0f43eb9d77bc8e56f0c93c - actors.py:654 - Test execution result for handler 'get_book': 0 | 2025-08-19 13:23:15,137 - INFO - core.actors - c0e9b4ed1b0f43eb9d77bc8e56f0c93c - actors.py:538 - Failed to complete: TypeScript errors (backend):","2025-08-20 11:57:20,399 - INFO - core.actors - 02cf1b9725064fc2996c0dadb3f2e362 - actors.py:382 - Compacted error message size: 641, original size: 12127 | 2025-08-20 11:57:20,399 - INFO - core.actors - 02cf1b9725064fc2996c0dadb3f2e362 - actors.py:538 - Failed to complete: TypeScript errors: | src/h"
bookmark-management-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS," | TypeScript errors (backend): | src/handlers/create_user.ts(4,22): error TS2307: Cannot find module 'bcrypt' or its corresponding type declarations. | src/tests/create_user.test.ts(8,25): error TS2307: Cannot find module 'bcrypt' or its corresponding type declarations.","2025-08-20 12:08:21,150 - INFO - trpc_agent.actors - 8a7c44fb4ed64086a05cce4b5f80fe96 - actors.py:654 - Test execution result for handler 'get_tags': 1 | 2025-08-20 12:08:21,151 - INFO - core.actors - 8a7c44fb4ed64086a05cce4b5f80fe96 - actors.py:538 - Failed to complete: TypeScript errors (backend):"
car-maintenance-dashboard_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:20:31,637 - INFO - trpc_agent.actors - eef1d9e2f4b14ddda5b5029efbe8b57f - actors.py:654 - Test execution result for handler 'update_service_reminder': 0 | 2025-08-19 13:20:31,638 - INFO - core.actors - eef1d9e2f4b14ddda5b5029efbe8b57f - actors.py:538 - Failed to complete: TypeScript er","2025-08-20 11:58:49,625 - INFO - trpc_agent.actors - 2a9b8524d92740738a0c4b804fd9d205 - actors.py:654 - Test execution result for handler 'update_maintenance_record': 0 | 2025-08-20 11:58:49,625 - INFO - core.actors - 2a9b8524d92740738a0c4b804fd9d205 - actors.py:538 - Failed to complete: TypeScript "
cat-conspiracy-tracker_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 15:08:39,893 - INFO - core.actors - 1cb172ef47084f9c93586bad6a9264f5 - actors.py:408 - Running tool complete with input  | 2025-08-19 15:08:42,143 - INFO - core.actors - 1cb172ef47084f9c93586bad6a9264f5 - actors.py:538 - Failed to complete: TypeScript errors (backend): | src/db/schema.ts(","2025-08-20 12:22:49,803 - INFO - trpc_agent.actors - 07dfc0ca30954b7387b4cc5d73802451 - actors.py:654 - Test execution result for handler 'get_cats': 1 | 2025-08-20 12:22:49,804 - INFO - core.actors - 07dfc0ca30954b7387b4cc5d73802451 - actors.py:538 - Failed to complete: TypeScript errors (backend):"
city-trip-advisor_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:19:39,312 - INFO - core.actors - 4b5f85d64c4344a8afecfb9ed0ec1063 - actors.py:382 - Compacted error message size: 1463, original size: 8036 | 2025-08-19 13:19:39,312 - INFO - core.actors - 4b5f85d64c4344a8afecfb9ed0ec1063 - actors.py:538 - Failed to complete: TypeScript errors: | src/h","2025-08-20 11:56:25,158 - INFO - core.actors - da43de73d2b147ae9949d056c5ec7f23 - actors.py:408 - Running tool complete with input  | 2025-08-20 11:56:27,536 - INFO - core.actors - da43de73d2b147ae9949d056c5ec7f23 - actors.py:538 - Failed to complete: TypeScript errors (backend): | src/handlers/get_"
currency-converter_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:18:51,953 - INFO - trpc_agent.actors - b06e717d22fd4ac4bfffc19a627c02fb - actors.py:654 - Test execution result for handler 'convert_currency': 1 | 2025-08-19 13:18:51,953 - INFO - core.actors - b06e717d22fd4ac4bfffc19a627c02fb - actors.py:538 - Failed to complete: TypeScript errors (b","2025-08-20 11:57:21,741 - INFO - trpc_agent.actors - c4f5863d2e0b4facbdf77636e38b480d - actors.py:654 - Test execution result for handler 'convert_currency': 0 | 2025-08-20 11:57:21,741 - INFO - core.actors - c4f5863d2e0b4facbdf77636e38b480d - actors.py:538 - Failed to complete: TypeScript errors (b"
daily-pattern-visualizer_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:31:16,282 - INFO - core.actors - 4381217d2e3042819594ba91d41bdfff - actors.py:382 - Compacted error message size: 1409, original size: 9064 | 2025-08-19 13:31:16,283 - INFO - core.actors - 4381217d2e3042819594ba91d41bdfff - actors.py:538 - Failed to complete: TypeScript errors: | src/h","2025-08-20 12:01:20,238 - INFO - core.actors - 388d769115e847039112d02d56ad199a - actors.py:382 - Compacted error message size: 1105, original size: 49173 | 2025-08-20 12:01:20,238 - INFO - core.actors - 388d769115e847039112d02d56ad199a - actors.py:538 - Failed to complete: TypeScript errors in src/"
