Case,Assignee,AB-01 Boot,AB-02 Prompt,AB-03 Create,AB-04 View/Edit,AB‑06 Clickable Sweep,AB‑07 Performance >75,Notes,PASS#,WARN#,FAIL#,PTS
basic-inventory-system_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 86, Best Practices: 93",6,0,0,10
beer-counter-app_trpc-agent_claude_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
birthday-wish-app_trpc-agent_claude_gemini,A1,WARN,FAIL,NA,NA,NA,PASS,"no animations, no photo gallery, basic app without any css, error on home page: Refused to load the image '<URL>' because it violates the following Content Security Policy directive: ""img-src 'self' data:"".

Performance: 95, Best Practices: 86",1,1,1,0
book-library-manager_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 88, Best Practices: 93",6,0,0,10
bookmark-management-app_trpc-agent_claude_gemini,A1,FAIL,NA,NA,NA,NA,NA,"Failed to load the app, console error: Uncaught Error: A <Select.Item /> must have a value prop that is not an empty string. This is because the Select value can be set to an empty string to clear the selection and show the placeholder.
    at index-Dk5xA_76.js:89:15286
    at Rc (index-Dk5xA_76.js:48:42591)
    at cm (index-Dk5xA_76.js:48:61838)
    at bm (index-Dk5xA_76.js:48:76337)
    at Wm (index-Dk5xA_76.js:48:116099)
    at Bb (index-Dk5xA_76.js:48:115179) 
    at Cu (index-Dk5xA_76.js:48:115011)
    at Zm (index-Dk5xA_76.js:48:112082)
    at rh (index-Dk5xA_76.js:48:121821)
    at Ri (index-Dk5xA_76.js:48:120595)",0,0,1,0
car-maintenance-dashboard_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 89, Best Practices: 93",6,0,0,10
cat-conspiracy-tracker_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 88, Best Practices: 93",5,0,0,9
city-trip-advisor_trpc-agent_claude_gemini,A1,PASS,WARN,NA,NA,PASS,PASS,"mocked values; Performance: 94, Best Practices: 93",3,1,0,7
currency-converter_trpc-agent_claude_gemini,A1,PASS,PASS,NA,NA,PASS,PASS,"Performance: 89, Best Practices: 93",4,0,0,8
daily-pattern-visualizer_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 75, Best Practices: 93",5,0,0,9
engineering-job-board_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,WARN,PASS,"APPLY button does not work, Performance: 88, Best Practices: 93",4,1,0,8.5
event-tracker_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 92, Best Practices: 93",6,0,0,10
gym-crm_trpc-agent_claude_gemini,A1,WARN,FAIL,WARN,NA,WARN,PASS,"create class button does not work, console error on login: Refused to load the image 'https://api.dicebear.com/7.x/avataaars/svg?seed=user1@gmail.com' because it violates the following Content Security Policy directive: ""img-src 'self' data:"".; Performance: 88, Best Practices: 93",1,3,1,0
habit-tracker-app_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 92, Best Practices: 93",5,0,0,9
home-lab-inventory_trpc-agent_claude_gemini,A1,PASS,FAIL,WARN,PASS,WARN,PASS,"add software asset & add IP allocation buttons do not function; Performance: 85, Best Practices: 93",3,2,1,0
indonesian-inventory-app_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 85, Best Practices: 93",6,0,0,10
kanji-flashcards_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,WARN,WARN,PASS,"database not implemented, refresh clears data, start session button does not work, common error: Backend handlers are placeholder implementations - using stub data; Performance: 88, Best Practices: 93",4,2,0,9
