Case,Assignee,AB-01 Boot,AB-02 Prompt,AB-03 Create,AB-04 View/Edit,AB‑06 Clickable Sweep,AB‑07 Performance >75,Notes,PASS#,WARN#,FAIL#,PTS
basic-inventory-system_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 86; Best Practices: 93,6,0,0,10
beer-counter-app_trpc-agent_claude_gemini,A1,FAIL,NA,NA,NA,NA,NA,Incomplete / No Source Code,0,0,1,0
birthday-wish-app_trpc-agent_claude_gemini,A1,WARN,PASS,NA,NA,PASS,PASS,"Performance: 94; Best Practices: 86

Refused to load the image '<URL>' because it violates the following Content Security Policy directive: ""img-src 'self' data:"".",3,1,0,7.8
book-library-manager_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 86; Best Practices: 93,6,0,0,10
bookmark-management-app_trpc-agent_claude_gemini,A1,PASS,WARN,PASS,FAIL,PASS,PASS,"User login failure

Performance: 86; Best Practices: 93",4,1,1,0
car-maintenance-dashboard_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 87; Best Practices: 93,6,0,0,10
cat-conspiracy-tracker_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 75; Best Practices: 93,6,0,0,10
city-trip-advisor_trpc-agent_claude_gemini,A1,PASS,PASS,NA,PASS,PASS,PASS,Performance: 94; Best Practices: 93,5,0,0,9
currency-converter_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 90; Best Practices: 93,6,0,0,10
daily-pattern-visualizer_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 89; Best Practices: 93,6,0,0,10
engineering-job-board_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 85; Best Practices: 93,6,0,0,10
event-tracker_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 91; Best Practices: 93,6,0,0,10
gym-crm_trpc-agent_claude_gemini,A1,PASS,FAIL,NA,NA,NA,NA,Template: Under Construction,1,0,1,0
habit-tracker-app_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,Performance: 83; Best Practices: 93,6,0,0,10
home-lab-inventory_trpc-agent_claude_gemini,A1,FAIL,NA,NA,NA,NA,NA,Template: Under Construction,0,0,1,0
indonesian-inventory-app_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"All main features are working fine, Performance: 81; Best Practices: 93",6,0,0,10
kanji-flashcards_trpc-agent_claude_gemini,A1,PASS,FAIL,WARN,PASS,FAIL,PASS,"faulty input field during flash-cards session, 40% of the buttons don't work, unhandled errors in console; Performance: 85, Best Practices: 93",3,1,2,0
pantry-inventory-app_trpc-agent_claude_gemini,A1,PASS,FAIL,PASS,NA,WARN,PASS,"pantry items component does not render, no notifications for expiry; Performance: 88, Best Practices: 93",3,1,1,0
pastel-blue-notes-app_trpc-agent_claude_gemini,A1,PASS,WARN,PASS,PASS,PASS,PASS,"User login failure

Performance: 86; Best Practices: 93",5,1,0,9
pc-gaming-niche-site_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,WARN,PASS,"red full review button does not work; Performance: 86, Best Practices: 93",5,1,0,9.5
personal-expense-tracker_trpc-agent_claude_gemini,A1,PASS,WARN,PASS,PASS,PASS,WARN,"no visualizations; Performance: 71, Best Practices: 93",4,2,0,8.5
plant-care-tracker_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,WARN,PASS,PASS,"updating entry brakes the filter plants function; Performance: 89, Best Practices: 93",5,1,0,9.5
plumbing-business-landing-page_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,WARN,PASS,"one button and policy, t&c links do not work; Performance: 86, Best Practices: 93",4,1,0,8.5
pomodoro-study-timer_trpc-agent_claude_gemini,A1,WARN,FAIL,PASS,NA,PASS,PASS,"no audio alert, initial console error: Refused to load media from 'data:audio/wav;base64,UklGRnoGAABXQVZFZm10IBAAAAABAAEAQB8AAEAfAAABAAgAZGF0YQoGAACBhYqFbF1fdJivrJBhNjVgodDbq2EcBj+a2/LDciUFLIHO8tiJNwgZaLvt559NEAxQp+PwtmMcBjiR1/LMeSwFJHfH8N2QQAoUXrTp66hVFApGn+DyvmUcBzaJ0fLV' because it violates the following Content Security Policy directive: ""default-src 'self'"". Note that 'media-src' was not explicitly set, so 'default-src' is used as a fallback.; Performance: 94, Best Practices: 86",3,1,1,0
recipe-sharing-platform_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,NA,PASS,"needs refresh after creating account; Performance: 86, Best Practices: 93",5,0,0,9
roommate-chore-wheel_trpc-agent_claude_gemini,A1,FAIL,NA,NA,NA,NA,NA,Template: Under Construction,0,0,1,0
teacher-question-bank_trpc-agent_claude_gemini,A1,PASS,FAIL,WARN,PASS,WARN,PASS,"generate quiz fails, add question button fails: Uncaught Error: `RadioGroupItem` must be used within `RadioGroup`
    at b (index-CFQLRKRr.js:49:34919)
    at index-CFQLRKRr.js:238:26757
    at gc (index-CFQLRKRr.js:48:42595)
    at jm (index-CFQLRKRr.js:48:61845)
    at zm (index-CFQLRKRr.js:48:76344)
    at dp (index-CFQLRKRr.js:48:116106)
    at fS (index-CFQLRKRr.js:48:115186)
    at pu (index-CFQLRKRr.js:48:115018)
    at sp (index-CFQLRKRr.js:48:112089)
    at Sp (index-CFQLRKRr.js:48:121837)
b @ index-CFQLRKRr.js:49
(anonymous) @ index-CFQLRKRr.js:238
gc @ index-CFQLRKRr.js:48
jm @ index-CFQLRKRr.js:48
zm @ index-CFQLRKRr.js:48
dp @ index-CFQLRKRr.js:48
fS @ index-CFQLRKRr.js:48
pu @ index-CFQLRKRr.js:48
sp @ index-CFQLRKRr.js:48
Sp @ index-CFQLRKRr.js:48
$r @ index-CFQLRKRr.js:48
bS @ index-CFQLRKRr.js:48
(anonymous) @ index-CFQLRKRr.js:48; 

Performance: 82, Best Practices: 93",3,2,1,0
tennis-enthusiast-platform_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 90, Best Practices: 93",5,0,0,9
todo-list-with-mood_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,PASS,PASS,WARN,"Performance: 72, Best Practices: 93",5,1,0,9.5
wellness-score-tracker_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 91, Best Practices: 93",5,0,0,9
