Case,Assignee,AB-01 Boot,AB-02 Prompt,AB-03 Create,AB-04 View/Edit,AB‑06 Clickable Sweep,AB‑07 Performance >75,Notes,PASS#,WARN#,FAIL#,PTS
gym-crm_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
tennis-enthusiast-platform_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,FAIL,WARN,WARN,PASS,,"creation doesnot contains all fileds,  Cannot edit existing one
Performance: 88, Best Practices: 93",2,2,1,0
home-lab-inventory_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,FAIL,NA,NA,NA,PASS,"immature UI and incomplete features; Performance: 90, Best Practices: 93",2,0,1,0
pastel-blue-notes-app_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,FAIL,PASS,PASS,PASS,PASS,"edit note is not implemented (important feature); Performance:  90, Best Practices: 93",5,0,1,0
birthday-wish-app_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,incomplete / no source code,0,0,1,0
home-lab-inventory_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
tennis-enthusiast-platform_trpc-agent_gpt-oss_gemini,A1,PASS,FAIL,PASS,NA,PASS,PASS,"users cannot set skill level (important), unable to connect / contact other players (important); Performance: 91, Best Practices: 93",4,0,1,0
cat-conspiracy-tracker_trpc-agent_gpt-oss_gemini,A2,PASS,FAIL,WARN,NA ,FAIL,PASS,"TRPCClientError: No procedure found on path ""trpc/getCats""
Performance: 90, Best Practices: 89",2,1,2,0
personal-expense-tracker_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,PASS,PASS,PASS,WARN,PASS,"no visualizations - just plain numbers, export data button does not work (was a bonus feature); Performance: 89, Best Practices: 93",5,1,0,9.5
kanji-flashcards_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,FAIL,NA,NA,NA,PASS,"no features implemented; Performance: 93, Best Practices: 93",2,0,1,0
recipe-sharing-platform_trpc-agent_qwen3-480b-35a_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
todo-list-with-mood_trpc-agent_gpt-oss_gemini,A2,PASS,FAIL,PASS,NA,NA,PASS,"Ugly UI and incomplete features
Performance: 91, Best Practices: 93",3,0,1,0
book-library-manager_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
pc-gaming-niche-site_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
wellness-score-tracker_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 93, Best Practices: 93",5,0,0,9
bookmark-management-app_trpc-agent_qwen3-480b-35a_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
gym-crm_trpc-agent_qwen3-480b-35a_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
daily-pattern-visualizer_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,WARN,PASS,NA,PASS,PASS,"alcohol / caffeine input absent (important), visualizations are broken (optional); Performance: 90, Best Practices: 93",4,1,0,8
engineering-job-board_trpc-agent_qwen3-480b-35a_gemini,A1,FAIL,NA,NA,NA,NA,NA,no / incomplete source code,0,0,1,0
event-tracker_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,WARN,PASS,WARN,PASS,PASS,"Doesnot have time option to set,  Cannot edit events
Performance: 92, Best Practices: 93",4,2,0,8.5
plumbing-business-landing-page_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
personal-expense-tracker_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
pc-gaming-niche-site_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,PASS,PASS,PASS,WARN,PASS,"edit present for products, categories, reveiws but cannot be clickable
Performance: 88, Best Practices: 93",5,1,0,9.5
event-tracker_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
teacher-question-bank_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
