experiment_name,prompt_name,template_id,coding_model,universal_model,ablation_type,healthcheck_pass,success,exit_code,docker_healthy,duration_seconds,timestamp,template_failed,total_input_tokens,total_output_tokens,total_llm_calls,total_llm_time,source_dir
gym-crm_trpc-agent_claude_gemini,gym-crm,trpc-agent,claude,gemini,no_playwright,true,false,0,true,993.56987,2025-08-20T12:25:03.070323,true,4152412,173935,285,2421.299513578415,dataset/ablations/benchmark_results_no_playwright
city-trip-advisor_trpc-agent_claude_gemini,city-trip-advisor,trpc-agent,claude,gemini,no_playwright,true,true,0,true,245.550752,2025-08-20T11:59:33.489208,false,272798,23012,59,346.1050205230713,dataset/ablations/benchmark_results_no_playwright
engineering-job-board_trpc-agent_claude_gemini,engineering-job-board,trpc-agent,claude,gemini,no_playwright,false,false,1,false,351.986034,2025-08-20T12:19:15.270959,false,504736,38538,79,545.2726089954376,dataset/ablations/benchmark_results_no_playwright
todo-list-with-mood_trpc-agent_claude_gemini,todo-list-with-mood,trpc-agent,claude,gemini,no_playwright,true,true,0,true,435.32185,2025-08-20T12:16:45.876885,false,606246,54659,109,737.8511657714844,dataset/ablations/benchmark_results_no_playwright
wellness-score-tracker_trpc-agent_claude_gemini,wellness-score-tracker,trpc-agent,claude,gemini,no_playwright,true,true,0,true,377.894475,2025-08-20T12:01:45.831305,false,1088751,69504,128,922.8942785263062,dataset/ablations/benchmark_results_no_playwright
pantry-inventory-app_trpc-agent_claude_gemini,pantry-inventory-app,trpc-agent,claude,gemini,no_playwright,true,true,0,true,236.614266,2025-08-20T12:03:13.999120,false,355337,45138,80,583.9798038005829,dataset/ablations/benchmark_results_no_playwright
beer-counter-app_trpc-agent_claude_gemini,beer-counter-app,trpc-agent,claude,gemini,no_playwright,true,false,0,true,787.136735,2025-08-20T12:15:24.797178,true,604764,43976,138,712.8788423538208,dataset/ablations/benchmark_results_no_playwright
currency-converter_trpc-agent_claude_gemini,currency-converter,trpc-agent,claude,gemini,no_playwright,true,true,0,true,409.726429,2025-08-20T12:02:17.658568,false,939509,59762,105,777.2450020313263,dataset/ablations/benchmark_results_no_playwright
pastel-blue-notes-app_trpc-agent_claude_gemini,pastel-blue-notes-app,trpc-agent,claude,gemini,no_playwright,true,true,0,true,513.555562,2025-08-20T12:09:30.550369,false,612975,47399,103,622.4789998531342,dataset/ablations/benchmark_results_no_playwright
plumbing-business-landing-page_trpc-agent_claude_gemini,plumbing-business-landing-page,trpc-agent,claude,gemini,no_playwright,true,true,0,true,354.876639,2025-08-20T12:08:29.498187,false,135991,19703,43,265.76878571510315,dataset/ablations/benchmark_results_no_playwright
event-tracker_trpc-agent_claude_gemini,event-tracker,trpc-agent,claude,gemini,no_playwright,true,true,0,true,223.008384,2025-08-20T11:59:10.948750,false,65720,14168,32,189.89884757995605,dataset/ablations/benchmark_results_no_playwright
